COUNTRY,HDI,FERTILITY RATE,FEMALE LITERACY,FEMALE LABOR PARTICIPATION,GDP PER CAPITA,URBANIZATION RATE,CHILD MORTALITY,MEAN AGE AT FIRST BIRTH,YEARS
Afghanistan,0.486,4.9,0.266,,356.4962141,,59,19.9,2021
Albania,0.794,1.4,0.983,,6413.282808,,10,26.6,2021
Algeria,0.755,2.8,0.742,,4160.559267,,23,31.4,2021
Andorra,0.871,1.1,,,42425.69968,,3,32.8,2021
Angola,0.609,5.2,0.625,,1925.874661,,69,19.4,2021
Antigua and barbuda,0.843,1.6,,,17348.6007,,10,,2021
Argentina,0.847,1.5,0.991,,10738.01792,,10,31,2021
Armenia,0.786,1.7,1,,4685.179971,,11,25.2,2021
Australia,0.954,1.6,0.962,,60607.77886,,4,28.7,2021
Austria,0.93,1.4,0.962,,53648.71907,,3,29.7,2021
Azerbaijan,0.765,1.7,1,,5408.045352,,20,24,2021
Bahamas,0.794,1.4,0.955,,,,13,18.6,2021
Bahrain,0.885,1.8,0.96,,27147.80839,,8,29.9,2021
Bangladesh,0.663,2.2,0.74,,2482.849178,,31,26.8,2021
Barbados,0.803,1.7,,,18696.7859,,11,,2021
Belarus,0.817,1.3,1,,7489.718947,,3,26.8,2021
Belgium,0.948,1.5,0.99,,51658.23829,,4,29.2,2021
Belize,0.713,1.9,0.916,,6122.611586,,13,27.2,2021
Benin,0.506,4.6,0.364,,1318.651581,,83,20.5,2021
Bhutan,0.691,1.5,0.639,,3570.61258,,25,31.4,2021
Bolivia,0.693,2.6,0.91,,3384.844865,,25,21.1,2021
Bosnia and Herzegovina,0.783,1.5,0.971,,7295.343824,,6,27.7,2021
Botswana,0.7,2.8,,,7807.887945,,42,,2021
Brazil,0.768,1.6,0.949,,7972.53665,,15,27.1,2021
Brunei Darussalam,0.835,1.8,0.969,,31006.96362,,10,,2021
Bulgaria,0.817,1.8,0.982,,12972.21734,,6,26.4,2021
Burkina Faso,0.454,4.3,0.291,,895.5352884,,83,19.4,2021
Burundi,0.35,5,0.694,,214.0914554,,53,21.5,2021
Cabo Verde,0.651,1.5,0.876,,3971.444092,,13,,2021
Cambodia,0.594,2.6,0.797,,2167.403242,,25,22.4,2021
Cameroon,0.574,4.4,0.731,,1672.326573,,72,20.1,2021
Canada,0.937,1.3,0.827,,52886.66164,,5,29.4,2021
Central African Republic,0.339,6,0.262,,492.2631428,,171,28.8,2021
Chad,0.48,6.2,0.189,,946.3585002,,108,18.1,2021
Chile,0.865,1.3,0.971,,16206.83255,,7,27.9,2021
China,0.794,1,0.95,,12887.43572,,7,27.5,2021
Colombia,0.762,1.7,0.96,,6222.621644,,13,21.7,2021
Comoros,0.594,3.9,0.569,,1587.729886,,42,23,2021
Congo,0.643,4.2,0.754,,,,43,19.6,2021
Congo (Democratic Republic of),0.508,6.1,0.717,,,,78,19.9,2021
Costa Rica,0.817,1.3,0.981,,12838.11854,,10,27.9,2021
Cote d'Ivoire,0.557,4.3,0.403,,2455.981276,,71,19.6,2021
Croatia,0.876,1.5,0.992,,17789.93047,,5,29,2021
Cuba,0.745,1.4,0.997,,,,8,27.5,2021
Cyprus,0.907,1.4,0.992,,33734.03516,,3,30,2021
Czechia,0.901,1.6,,,27696.46195,,3,28.5,2021
Denmark,0.958,1.6,0.99,,69727.98737,,4,29.8,2021
Djibouti,0.501,2.7,,,3025.911264,,54,,2021
Dominica,0.749,1.5,0.956,,8376.404141,,35,25.7,2021
Dominican Republic,0.762,2.3,0.956,,8527.075486,,33,20.9,2021
Ecuador,0.753,1.9,0.93,,6061.323502,,13,27.4,2021
Egypt,0.738,2.8,0.689,,,,19,22.6,2021
El Salvador,0.663,1.8,0.88,,4642.607431,,11,20.8,2021
Equatorial Guinea,0.671,4.2,0.94,,6945.630698,,76,28.1,2021
Eritrea,0.496,3.8,0.689,,,,38,21.3,2021
Estonia,0.899,1.4,0.999,,27953.76702,,2,28.2,2021
Eswatini,0.658,2.8,0.904,,3966.298633,,48,,2021
Ethiopia,0.487,4.1,0.404,,910.9478871,,50,19.3,2021
Fiji,0.705,2.3,0.924,,4696.171039,,28,28.72,2021
Finland,0.949,1.3,1,,53099.13514,,2,29.5,2021
France,0.915,1.8,0.962,,43725.09995,,4,28.9,2021
Gabon,0.72,3.7,0.85,,8181.409141,,35,19.6,2021
Gambia,0.513,4.1,0.523,,,,47,20.7,2021
Georgia,0.819,1.8,1,,5083.606955,,10,25.9,2021
Germany,0.958,1.5,0.99,,52265.65416,,4,29.9,2021
Ghana,0.618,3.4,0.762,,2445.186625,,40,20.7,2021
Greece,0.897,1.3,0.974,,20654.7002,,4,30.7,2021
Grenada,0.782,1.5,,,9622.240505,,19,,2021
Guatemala,0.639,2.3,0.786,,4912.622257,,23,20.6,2021
Guinea,0.49,4.3,0.313,,1244.965505,,101,19.9,2021
Guinea-Bissau,0.502,3.9,0.41,,912.4841047,,74,,2021
Guyana,0.713,2.4,0.897,,9860.870148,,28,20.8,2021
Haiti,0.548,2.7,0.639,,1835.443941,,59,22.4,2021
Honduras,0.628,2.5,0.89,,2735.147515,,17,20.3,2021
Hong Kong,0.961,0.7,0.896,,,,,29.8,2021
Hungary,0.852,1.6,0.991,,19030.62813,,4,28.4,2021
Iceland,0.967,1.6,0.99,,69178.4047,,3,28.7,2021
India,0.647,2,0.7,,2239.613844,,31,21.2,2021
Indonesia,0.707,2.1,0.95,,4287.17314,,22,22.4,2021
Iran,0.777,1.7,0.849,,,,13,27.5,2021
Iraq,0.687,3.3,0.763,,4868.494311,,24,29.5,2021
Ireland,0.946,1.5,0.962,,103961.9764,,4,30.9,2021
Israel,0.918,2.9,0.98,,52270.90402,,4,27.7,2021
Italy,0.908,1.2,0.99,,36852.54254,,3,31.4,2021
Jamaica,0.703,1.4,0.908,,5165.337821,,19,21.2,2021
Japan,0.922,1.3,0.99,,40094.55998,,2,30.7,2021
Jordan,0.736,2.7,0.92,,4183.499983,,14,24.6,2021
Kazakhstan,0.816,3,0.998,,9983.601036,,10,28.9,2021
Kenya,0.608,3.3,0.803,,2061.356221,,42,20.3,2021
Kiribati,0.631,3.2,0.986,,2222.048295,,58,23.1,2021
South Korea,0.933,1.8,0.984,,,,3,32.2,2021
Kuwait,0.839,1.5,0.95,,34018.63429,,9,31.4,2021
Kyrgyzstan,0.704,2.8,0.995,,,,18,22.6,2021
Laos,0.613,2.5,0.834,,,,42,26.9,2021
Latvia,0.871,1.5,0.999,,20261.88878,,4,27.3,2021
Lebanon,0.733,2.3,0.9,,4045.373911,,16,29.4,2021
Lesotho,0.532,2.7,0.898,,1066.586436,,64,20.9,2021
Liberia,0.503,4,0.341,,667.9661051,,77,19.1,2021
Libya,0.729,2.4,,,4935.827873,,11,,2021
Liechtenstein,0.933,1.5,,,201944.8303,,,31.3,2021
Lithuania,0.887,1.3,0.998,,23870.45949,,4,28.2,2021
Luxembourg,0.918,1.3,1,,134965.8154,,2,31,2021
Madagascar,0.481,4,0.76,,483.4694634,,66,19.5,2021
Malawi,0.509,3.7,0.651,,617.4475208,,42,19.1,2021
Malaysia,0.802,1.6,0.95,,10903.11164,,8,27.9,2021
Maldives,0.745,1.6,0.984,,10176.14388,,6,23.2,2021
Mali,0.414,5.7,0.22,,1027.273454,,97,19.2,2021
Malta,0.914,1.1,0.964,,38065.35435,,6,29.3,2021
Marshall Islands,0.723,2.9,,,6258.611937,,30,,2021
Mauritania,0.553,4.8,0.622,,1947.789184,,40,21.8,2021
Mauritius,0.789,1.3,0.905,,9068.973002,,16,,2021
Mexico,0.761,1.9,0.94,,10314.05067,,13,21.3,2021
Micronesia,0.611,2.8,,,,,25,,2021
Moldova,0.773,1.7,0.995,,5274.605822,,15,25.2,2021
Mongolia,0.727,2.7,0.99,,4517.61578,,14,20.5,2021
Montenegro,0.84,1.8,0.985,,9377.488797,,3,26.3,2021
Morocco,0.69,2.3,0.691,,3785.936279,,18,24.6,2021
Mozambique,0.478,4.8,0.49,,509.9078295,,66,19.2,2021
Myanmar,0.605,2.1,0.86,,1242.721344,,41,24.7,2021
Namibia,0.631,3.2,0.923,,4412.835569,,44,21.6,2021
Nauru,0.692,3.4,,,14989.66475,,10,,2021
Nepal,0.596,2,0.633,,1252.750767,,29,20.4,2021
Netherlands,0.951,1.5,0.962,,60141.98809,,4,30.2,2021
New Zealand,0.939,1.7,0.99,,49689.49813,,5,27.8,2021
Nicaragua,0.682,2.2,0.828,,2138.385885,,15,19.2,2021
Niger,0.413,6.1,0.297,,608.7224396,,119,18.5,2021
Nigeria,0.554,4.6,0.533,,2017.274865,,111,20.4,2021
North Macedonia,0.781,1.6,0.978,,7620.80297,,5,26.9,2021
Norway,0.969,1.4,1,,93072.89251,,2,29.8,2021
Oman,0.834,2.4,0.95,,19403.46002,,11,26.6,2021
Pakistan,0.537,3.7,0.46,,1455.319224,,63,22.8,2021
Palau,0.789,1.9,0.96,,13257.20632,,23,,2021
Palestine,,,,,,,,,2021
Panama,0.819,2.1,0.95,,15509.80691,,15,26.6,2021
Papua New Guinea,0.567,3.2,0.616,,2607.578619,,43,21.9,2021
Paraguay,0.723,2.4,0.94,,5976.931798,,18,22.9,2021
Peru,0.764,2,0.92,,6826.202556,,16,21.9,2021
Philippines,0.69,1.9,0.97,,3484.385939,,28,23.6,2021
Poland,0.884,1.3,0.998,,18635.50888,,4,27.9,2021
Portugal,0.876,1.4,0.959,,24711.45101,,3,29.9,2021
Qatar,0.866,1.7,0.976,,71751.88313,,6,29.6,2021
Romania,0.829,1.7,0.99,,14986.78549,,7,27.1,2021
Russia,0.813,1.4,1,,,,5,25.2,2021
Rwanda,0.562,3.8,0.77,,829.5448456,,42,23,2021
Saint Kitts and Nevis,0.818,,,,,,17,,2021
Saint Lucia,0.724,,,,,,16,,2021
Saint Vincent and the Grenadines,0.781,,,,,,12,,2021
Samoa,0.706,3.9,0.993,,3947.645179,,17,,2021
San Marino,0.903,1.1,1,,54168.98283,,2,31.9,2021
Sao Tome and Principe,0.631,3.7,0.911,,2362.588272,,15,19.4,2021
Sauda Arabia,0.878,2.1,0.96,,31920.76537,,7,31.6,2021
Senegal,0.522,3.9,0.471,,1598.10677,,43,21.9,2021
Serbia,0.807,1.6,0.99,,9680.527981,,5,28.2,2021
Seychelles,0.838,2,0.967,,14982.91115,,15,,2021
Sierra Leone,0.458,3.9,0.413,,886.1929391,,101,19.6,2021
Singapore,0.948,1,0.96,,80056.12882,,2,30.5,2021
Slovakia,0.859,1.6,0.999,,,,6,27.2,2021
Slovenia,0.924,1.6,0.999,,29187.36938,,2,29,2021
Solomon Islands,0.577,3.6,,,1996.869768,,22,22.6,2021
Somalia,,6.3,0.44,,549.1147427,,111,,2021
South Africa,0.721,2.2,0.89,,6843.399419,,34,27.5,2021
South Sudan,0.393,4,0.289,,,,99,28.6,2021
Spain,0.912,1.2,0.98,,30799.47759,,3,31.2,2021
Sri Lanka,0.777,2,0.92,,3996.9624,,7,25.6,2021
Sudan,0.512,4.4,0.561,,712.1220093,,54,29.2,2021
Suriname,0.697,2.3,0.934,,5029.848385,,17,,2021
Sweden,0.958,1.5,0.998,,61174.96802,,3,29.7,2021
Switzerland,0.968,1.4,0.99,,93664.77367,,4,31.1,2021
Syria,0.571,2.7,0.92,,,,21,26.22,2021
Tajikistan,0.672,3.1,0.946,,896.7480534,,28,23.2,2021
Tanzania,0.548,4.7,0.787,,1159.856567,,42,19.8,2021
Thailand,0.8,1.2,0.915,,7057.207548,,10,23.3,2021
Timor-Leste,0.644,2.8,0.665,,2684.827024,,53,23,2021
Togo,0.56,4.3,0.55,,939.6133738,,62,25,2021
Tonga,0.763,3.2,0.995,,4912.579663,,11,24.9,2021
Trinidad and Tobago,0.796,1.5,0.938,,17679.18126,,20,,2021
Tunisia,0.728,1.8,0.783,,3906.939263,,15,,2021
Turkey,0.841,1.6,0.94,,,,10,26.6,2021
Turkmenistan,0.754,2.7,0.996,,7051.202111,,42,24.2,2021
Tuvalu,0.681,3.2,,,5905.081981,,21,,2021
Uganda,0.573,4.4,0.765,,882.7917174,,42,19.4,2021
Ukraine,0.772,0.9,1,,4775.945801,,8,26.2,2021
United Arab Emirates,0.903,1.1,0.98,,43360.0211,,6,27.5,2021
United Kingdom,0.941,1.6,0.99,,46926.47574,,4,29,2021
United States,0.921,1.7,0.99,,71307.40173,,7,27,2021
Uruguay,0.837,1.4,0.99,,17881.81872,,7,26.4,2021
Uzbekistan,0.727,3.4,1,,2258.519641,,14,23.7,2021
Vanuatu,0.615,3.6,0.884,,3211.719473,,17,,2021
Venezuela,0.696,2.1,0.977,,,,24,26.3,2021
Vietnam,0.754,1.9,0.95,,,,21,23.7,2021
Yemen,0.458,4.6,0.541,,,,42,20.8,2021
Zambia,0.574,4.2,0.843,,1127.160779,,49,19.2,2021
Zimbabwe,0.581,3.8,0.912,,1724.387271,,48,20.3,2021
,,,,,,,,,
